CivilizationType,LocCivilizationType,TraitType,MediaName,LocTraitTypeName,LocTraitTypeDesc,CardType,Grants,Unused,Description
CIVILIZATION_AMERICA,LOC_CIVILIZATION_AMERICA_DESCRIPTION,TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO,Film_Studio_%28Civ6%29,LOC_TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO_NAME,LOC_TRAIT_CIVILIZATION_BUILDING_FILM_STUDIO_DESCRIPTION,UI,,American unique building: Film Studio,Film Studio: replaces Broadcast Center. +100% Tourism pressure from this city towards other civilizations starting from the Modern Era.
CIVILIZATION_AMERICA,LOC_CIVILIZATION_AMERICA_DESCRIPTION,TRAIT_CIVILIZATION_FOUNDING_FATHERS,American_%28Civ6%29,LOC_TRAIT_CIVILIZATION_FOUNDING_FATHERS_NAME,LOC_TRAIT_CIVILIZATION_FOUNDING_FATHERS_EXPANSION2_DESCRIPTION,CA,,Founding Fathers,All Diplomatic policy slots in the current government are converted to Wildcard slots. +1 Diplomatic Favor per turn for each Wildcard slot in the current government.
CIVILIZATION_AMERICA,LOC_CIVILIZATION_AMERICA_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_AMERICAN_P51,P-51_Mustang_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_AMERICAN_P51_NAME,,UU,,American unique unit: P-51 Mustang,P-51 Mustang: replaces Fighter. +5 Combat Strength against fighter aircraft. Gains 50% more experience. Higher Combat Strength (105 vs. 100) and Ranged Strength (105 vs. 100). Higher Movement (10 vs. 8).
CIVILIZATION_ARABIA,LOC_CIVILIZATION_ARABIA_DESCRIPTION,TRAIT_CIVILIZATION_BUILDING_MADRASA,Madrasa_%28Civ6%29,LOC_TRAIT_CIVILIZATION_BUILDING_MADRASA_NAME,,UI,,Arabian unique building: Madrasa,Madrasa: replaces University and unlocked with Theology. +5 Science (1 more than university). Provides bonus Faith equal to the adjacency Science bonus of its district.
CIVILIZATION_ARABIA,LOC_CIVILIZATION_ARABIA_DESCRIPTION,TRAIT_CIVILIZATION_LAST_PROPHET,Arabian_%28Civ6%29,LOC_TRAIT_CIVILIZATION_LAST_PROPHET_NAME,LOC_TRAIT_CIVILIZATION_LAST_PROPHET_DESCRIPTION,CA,,The Last Prophet,Automatically receives the final Great Prophet when the next-to-last one is claimed (unless one has already been earned through other means). +1 Science per foreign city following Arabia's Religion.
CIVILIZATION_ARABIA,LOC_CIVILIZATION_ARABIA_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_ARABIAN_MAMLUK,Mamluk_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_ARABIAN_MAMLUK_NAME,,UU,,,"Mamluk: replaces Knight. Production cost increased from 180 to 220, Gold purchasing cost increased from 720 to 880, Gold maintenance cost increased from 3 to 4. Heals at the end of every turn, even if it moves or attacks."
CIVILIZATION_BRAZIL,LOC_CIVILIZATION_BRAZIL_DESCRIPTION,TRAIT_CIVILIZATION_AMAZON,Brazilian_%28Civ6%29,LOC_TRAIT_CIVILIZATION_AMAZON_NAME,LOC_TRAIT_CIVILIZATION_AMAZON_DESCRIPTION,CA,,Amazon,"Rainforest tiles provide a +1 adjacency bonus for Campus, Commercial Hub, Holy Site, and Theater Square districts, and provide +1 Appeal to adjacent tiles, instead of the usual -1."
CIVILIZATION_BRAZIL,LOC_CIVILIZATION_BRAZIL_DESCRIPTION,TRAIT_CIVILIZATION_STREET_CARNIVAL,Entertainment_Complex_%28Civ6%29,LOC_TRAIT_CIVILIZATION_STREET_CARNIVAL_NAME,,UI,,Brazilian unique district: Street Carnival,Street Carnival: replaces Zoo. Lower Production cost (27 vs. 54). +2 Amenities (up from 1 for Zoo) from entertainment to parent city.
CIVILIZATION_BRAZIL,LOC_CIVILIZATION_BRAZIL_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_BRAZILIAN_MINAS_GERAES,Minas_Geraes_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_BRAZILIAN_MINAS_GERAES_NAME,,UU,,Brazilian unique unit: Minas Geraes,Minas Geraes: replaces Battleship and is unlocked with Nationalism. Higher Combat Strength (70 vs. 60). Higher Ranged Strength (80 vs. 70). Higher Anti-Air strength (95 vs. 90).
CIVILIZATION_CHINA,LOC_CIVILIZATION_CHINA_DESCRIPTION,TRAIT_CIVILIZATION_DYNASTIC_CYCLE,Chinese_%28Civ6%29,LOC_TRAIT_CIVILIZATION_DYNASTIC_CYCLE_NAME,LOC_TRAIT_CIVILIZATION_DYNASTIC_CYCLE_EXPANSION2_DESCRIPTION,CA,,Dynastic Cycle,Eurekas and Inspirations provide an extra 10% of the Science and Culture cost for researching technologies and civics. Completing a Wonder grants a Eureka and Inspiration from that Wonder's era.
CIVILIZATION_CHINA,LOC_CIVILIZATION_CHINA_DESCRIPTION,TRAIT_CIVILIZATION_IMPROVEMENT_GREAT_WALL,Great_Wall_%28Civ6%29,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_GREAT_WALL_NAME,,UI,,Chinese unique improvement: Great Wall,Great Wall: tile improvement. Can only be built in a line on the current border of your territory. Occupying unit receives +4 Defense Strength and automatically gains 2 turns of fortification (+6 Defense Strength). +2 Gold. +2 Gold for each adjacent Great Wall. +2 Culture for each adjacent Great Wall (with Castles). Can only be pillaged but never removed by disasters.
CIVILIZATION_CHINA,LOC_CIVILIZATION_CHINA_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_CHINESE_CROUCHING_TIGER,Crouching_Tiger_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_CHINESE_CROUCHING_TIGER_NAME,,UU,,Chinese unique unit: Crouching Tiger,"Crouching Tiger: unique ranged unit, unlocks with Machinery. High Ranged Strength (50). Has a ranged attack with Range 1."
CIVILIZATION_ENGLAND,LOC_CIVILIZATION_ENGLAND_DESCRIPTION,TRAIT_CIVILIZATION_INDUSTRIAL_REVOLUTION,English_%28Civ6%29,LOC_TRAIT_CIVILIZATION_INDUSTRIAL_REVOLUTION_NAME,LOC_TRAIT_CIVILIZATION_INDUSTRIAL_REVOLUTION_DESCRIPTION,CA,,,Iron and Coal Mines accumulate +2 resources per turn. +100% Production towards Military Engineers. Military Engineers receive +2 charges. Buildings that provide additional yields when powered receive +4 of their respective yields. +20% Production towards Industrial Zone buildings. Harbor buildings grant +10 Strategic Resource stockpiles.
CIVILIZATION_ENGLAND,LOC_CIVILIZATION_ENGLAND_DESCRIPTION,TRAIT_CIVILIZATION_ROYAL_NAVY_DOCKYARD,Harbor_%28Civ6%29,LOC_TRAIT_CIVILIZATION_ROYAL_NAVY_DOCKYARD_NAME,,UI,,English unique district: Royal Navy Dockyard,Royal Navy Dockyard: replaces Harbor. Lower Production cost (27 vs. 54). +1 Movement for all units built in Dockyard. +2 Gold when built on a foreign continent. +4 Loyalty when built on a foreign continent.
CIVILIZATION_ENGLAND,LOC_CIVILIZATION_ENGLAND_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_ENGLISH_SEADOG,Sea_Dog_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_ENGLISH_SEADOG_NAME,,UU,,English unique unit: Sea Dog,Sea Dog: replaces Privateer. Higher Ranged Strength (55 vs. 50). Can capture defeated enemy naval units. (Does not work for Barbarian or city-state ships.)
CIVILIZATION_EGYPT,LOC_CIVILIZATION_EGYPT_DESCRIPTION,TRAIT_CIVILIZATION_IMPROVEMENT_SPHINX,Sphinx_%28Civ6%29,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_SPHINX_NAME,,UI,,Egyptian unique improvement: Sphinx,"Sphinx: tile improvement. It can be built on any land tile, including Floodplains. +1 Culture. +1 additional Culture if built on Floodplains. +1 additional Culture (with Natural History). +2 Appeal. +1 Faith. +2 additional Faith if placed next to a Wonder. Cannot be adjacent to another Sphinx. Cannot be built on Snow or Snow Hills tiles."
CIVILIZATION_EGYPT,LOC_CIVILIZATION_EGYPT_DESCRIPTION,TRAIT_CIVILIZATION_ITERU,Egyptian_%28Civ6%29,LOC_TRAIT_CIVILIZATION_ITERU_NAME,LOC_TRAIT_CIVILIZATION_ITERU_EXPANSION2_DESCRIPTION,CA,,Iteru,"15% Production towards districts and wonders built next to a River. Districts, improvements and units are immune to damage from floods.'"
CIVILIZATION_EGYPT,LOC_CIVILIZATION_EGYPT_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_EGYPTIAN_CHARIOT_ARCHER,Maryannu_Chariot_Archer_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_EGYPTIAN_CHARIOT_ARCHER_NAME,,UU,,Egyptian unique unit: Maryannu Chariot Archer,"Maryannu Chariot Archer: replaces Heavy Chariot. +2 Movement when starting its turn on flat terrain with no Woods or Rainforests. Has a ranged attack (35 Ranged Strength, 2 Range). -17 Ranged Strength vs. District defenses and naval units."
CIVILIZATION_FRANCE,LOC_CIVILIZATION_FRANCE_DESCRIPTION,TRAIT_CIVILIZATION_IMPROVEMENT_CHATEAU,Ch%3Fteau_%28Civ6%29,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_CHATEAU_NAME,,UI,,French unique improvement: Château,"Château: tile improvement. It must be built adjacent to a Bonus or a Luxury Resource. +2 Culture, +1 Gold, +1 Appeal. +1 Culture for each adjacent wonder, increasing to +2 Culture per wonder (with Flight). +2 Gold if built on a River. Cannot be adjacent to another Château."
CIVILIZATION_FRANCE,LOC_CIVILIZATION_FRANCE_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_FRENCH_GARDE_IMPERIALE,Garde_Imp%3Friale_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_FRENCH_GARDE_IMPERIALE_NAME,,UU,,French unique unit: Garde Impériale,Garde Impériale: replaces Line Infantry. Earns Great General points from kills. +10 Combat Strength on the original Capital Capital's home continent. Higher Combat Strength (70 vs. 65).
CIVILIZATION_FRANCE,LOC_CIVILIZATION_FRANCE_DESCRIPTION,TRAIT_CIVILIZATION_WONDER_TOURISM,French_%28Civ6%29,LOC_TRAIT_CIVILIZATION_WONDER_TOURISM_NAME,LOC_TRAIT_CIVILIZATION_WONDER_TOURISM_DESCRIPTION,CA,,Grand Tour,"+20% Production towards Medieval, Renaissance and Industrial Era Wonders. Double Tourism from Wonders of any Era."
CIVILIZATION_GERMANY,LOC_CIVILIZATION_GERMANY_DESCRIPTION,TRAIT_CIVILIZATION_DISTRICT_HANSA,Industrial_Zone_%28Civ6%29,LOC_TRAIT_CIVILIZATION_DISTRICT_HANSA_NAME,,UI,,German unique district: Hansa,"Hansa: replaces Industrial Zone. Lower Production cost (27 vs. 54). Major bonus (+2) for each adjacent Commercial Hub. Major bonus (+2) for each adjacent Aqueduct, Dam, or Canal. Standard bonus (+1) for each adjacent resource. Minor bonus (+½) for all other adjacent district tiles."
CIVILIZATION_GERMANY,LOC_CIVILIZATION_GERMANY_DESCRIPTION,TRAIT_CIVILIZATION_IMPERIAL_FREE_CITIES,German_%28Civ6%29,LOC_TRAIT_CIVILIZATION_IMPERIAL_FREE_CITIES_NAME,LOC_TRAIT_CIVILIZATION_IMPERIAL_FREE_CITIES_DESCRIPTION,CA,,Free Imperial Cities,Each city can build one more specialty District than the Citizen Population limit would normally allow.
CIVILIZATION_GERMANY,LOC_CIVILIZATION_GERMANY_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_GERMAN_UBOAT,U-Boat_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_GERMAN_UBOAT_NAME,,UU,,German unique unit: U-Boat,U-Boat: replaces Submarine. +10 Combat Strength when fighting on Ocean tiles. Higher Sight (3 vs. 2). Lower Production cost (430 vs. 480). No strategic resource requirement.
CIVILIZATION_GREECE,LOC_CIVILIZATION_GREECE_DESCRIPTION,TRAIT_CIVILIZATION_DISTRICT_ACROPOLIS,Theater_Square_%28Civ6%29,LOC_TRAIT_CIVILIZATION_DISTRICT_ACROPOLIS_NAME,,UI,,Greece unique district: Acropolis,"Acropolis: replaces Theater Square and can only be built on Hills. Standard bonus (+1 Culture) for each adjacent District (rather than 0.5 minor adjacency), +1 additional Culture if adjacent to a City Center. Awards 1 Envoy when completed."
CIVILIZATION_GREECE,LOC_CIVILIZATION_GREECE_DESCRIPTION,TRAIT_CIVILIZATION_PLATOS_REPUBLIC,Greek_%28Civ6%29,LOC_TRAIT_CIVILIZATION_PLATOS_REPUBLIC_NAME,LOC_TRAIT_CIVILIZATION_PLATOS_REPUBLIC_DESCRIPTION,CA,,Plato's Republic,Gains an additional Wildcard policy slot in all Governments.
CIVILIZATION_GREECE,LOC_CIVILIZATION_GREECE_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_GREEK_HOPLITE,Hoplite_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_GREEK_HOPLITE_NAME,,UU,,Greek unique unit: Hoplite,Hoplite: replaces Spearman. +10 Combat Strength when adjacent to at least one other Hoplite. Higher Strength Combat Strength (28 vs. 25).
CIVILIZATION_INDIA,LOC_CIVILIZATION_INDIA_DESCRIPTION,TRAIT_CIVILIZATION_DHARMA,Indian_%28Civ6%29,LOC_TRAIT_CIVILIZATION_DHARMA_NAME,LOC_TRAIT_CIVILIZATION_DHARMA_EXPANSION2_DESCRIPTION,CA,,Dharma,"Indian cities receive the Follower Beliefs of all religions with at least one follower in them, not just the majority religion, and gain +1 Amenity for each religion with at least one follower in them. +2 Spread Religion charges for Missionaries. +100% Religious pressure from Indian Trade Routes."
CIVILIZATION_INDIA,LOC_CIVILIZATION_INDIA_DESCRIPTION,TRAIT_CIVILIZATION_IMPROVEMENT_STEPWELL,Stepwell_%28Civ6%29,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_STEPWELL_NAME,,UI,,Indian unique improvement: Stepwell,"Stepwell: tile improvement. Must be built on a flat land tile. +1 Housing, +1 Food. +1 additional Food if placed adjacent to a Farm. +1 additional Faith if placed adjacent to a Holy Site. +1 Faith (with Feudalism). +1 Housing (with Sanitation). +1 Food (with Professional Sports). Prevents Food Food loss from droughts. Cannot be adjacent to another Stepwell."
CIVILIZATION_INDIA,LOC_CIVILIZATION_INDIA_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_INDIAN_VARU,Varu_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_INDIAN_VARU_NAME,,UU,,Indian unique unit: Varu,Varu: unique heavy cavalry. Ignores enemy zone of control. Reduces the Combat Strength of adjacent enemy units by 5 non-cumulatively.
CIVILIZATION_JAPAN,LOC_CIVILIZATION_JAPAN_DESCRIPTION,TRAIT_CIVILIZATION_ADJACENT_DISTRICTS,Japanese_%28Civ6%29,LOC_TRAIT_CIVILIZATION_ADJACENT_DISTRICTS_NAME,LOC_TRAIT_CIVILIZATION_ADJACENT_DISTRICTS_DESCRIPTION,CA,,Meiji Restoration,"Districts receive a +1 adjacency bonus for each adjacent district, instead of +0.5."
CIVILIZATION_JAPAN,LOC_CIVILIZATION_JAPAN_DESCRIPTION,TRAIT_CIVILIZATION_BUILDING_ELECTRONICS_FACTORY,Electronics_Factory_%28Civ6%29,LOC_TRAIT_CIVILIZATION_BUILDING_ELECTRONICS_FACTORY_NAME,,UI,,Japanese unique building: Electronics Factory,Electronics factory: Replaces Factory. +2 prod when powered over normal factory. +4 culture with electricity
CIVILIZATION_JAPAN,LOC_CIVILIZATION_JAPAN_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_JAPANESE_SAMURAI,Samurai_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_JAPANESE_SAMURAI_NAME,,UU,,Japanese unique unit: Samurai,Samurai: replaces man at arms. Does not suffer strength loss due to damage. Higher strength (48 vs 45)
CIVILIZATION_KONGO,LOC_CIVILIZATION_KONGO_DESCRIPTION,TRAIT_CIVILIZATION_MBANZA,Neighborhood_%28Civ6%29,LOC_TRAIT_CIVILIZATION_MBANZA_NAME,,UI,,Kongolese unique district: Mbanza,"Mbanza: replaces Neighborhood, must be built on Woods or Rainforest tiles and is unlocked with Guilds. Lower Production cost (27 vs. 54). +5 Housing, +2 Food, +4 Gold. Yield does not change based on the tile's Appeal."
CIVILIZATION_KONGO,LOC_CIVILIZATION_KONGO_DESCRIPTION,TRAIT_CIVILIZATION_NKISI,Kongolese_%28Civ6%29,LOC_TRAIT_CIVILIZATION_NKISI_NAME,LOC_TRAIT_CIVILIZATION_NKISI_DESCRIPTION,CA,,Nkisi,"Relics, Artifacts and Sculptures grant +2 Food, +2 Production, +1 Faith, and +4 Gold. The Palace has four extra slots for Great Works. +50% Great Artist, Great Musician, and Great Merchant points gained from all sources."
CIVILIZATION_KONGO,LOC_CIVILIZATION_KONGO_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_KONGO_SHIELD_BEARER,Ngao_Mbeba_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_KONGO_SHIELD_BEARER_NAME,,UU,,Kongolese unique unit: Ngao Mbeba,Ngao Mbeba: replaces Swordsman. Does not suffer Movement or sight penalties in Woods or Rainforests. +10 Combat Strength when defending against ranged attacks. Higher Combat Strength (38 vs. 35). Higher Production cost (110 vs. 90).
CIVILIZATION_NORWAY,LOC_CIVILIZATION_NORWAY_DESCRIPTION,TRAIT_CIVILIZATION_BUILDING_STAVE_CHURCH,Stave_Church_%28Civ6%29,LOC_TRAIT_CIVILIZATION_BUILDING_STAVE_CHURCH_NAME,,UI,,Norwegian unique building: Stave Church,Stave Church: replaces Temple. Holy Site gets an additional standard adjacency bonus (+1) from Woods. +1 Production for every coastal resource worked by the city. 
CIVILIZATION_NORWAY,LOC_CIVILIZATION_NORWAY_DESCRIPTION,TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION,Norwegian_%28Civ6%29,LOC_TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION_NAME,LOC_TRAIT_CIVILIZATION_EARLY_OCEAN_NAVIGATION_DESCRIPTION,CA,,Knarr,"Norwegian units gain the ability to enter Ocean tiles with Shipbuilding, instead of Cartography, and pay no additional Movement costs to embark or disembark. Naval melee units can heal in neutral territory."
CIVILIZATION_NORWAY,LOC_CIVILIZATION_NORWAY_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_NORWEGIAN_BERSERKER,Berserker_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_NORWEGIAN_BERSERKER_NAME,,UU,,Norwegian unique unit: Berserker,Berserker: replaces Man-At-Arms and is unlocked with Military Tactics. +2 Movement when starting its turn in enemy territory. +10 Combat Strength when attacking. -5 Combat Strength when defending against melee attacks. Higher Combat Strength (48 vs. 45).
CIVILIZATION_ROME,LOC_CIVILIZATION_ROME_DESCRIPTION,TRAIT_CIVILIZATION_ALL_ROADS_TO_ROME,Roman_%28Civ6%29,LOC_TRAIT_CIVILIZATION_ALL_ROADS_TO_ROME_NAME,LOC_TRAIT_CIVILIZATION_ALL_ROADS_TO_ROME_DESCRIPTION,CA,,All Roads Lead to Rome,"Founded or conquered cities start with a Trading Post and, if within Trade Route range of the Capital Capital, a road to it. Trade Routes generate +1 additional Gold from Roman Trading Posts they pass through."
CIVILIZATION_ROME,LOC_CIVILIZATION_ROME_DESCRIPTION,TRAIT_CIVILIZATION_DISTRICT_BATH,Aqueduct_%28Civ6%29,LOC_TRAIT_CIVILIZATION_DISTRICT_BATH_NAME,,UI,,Roman unique district: Bath,Bath: replaces Aqueduct district. Lower Production Production cost (18 vs. 36). Provides an additional bonus of +2 Housing and +1 Amenity. 
CIVILIZATION_ROME,LOC_CIVILIZATION_ROME_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_ROMAN_LEGION,Legion_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_ROMAN_LEGION_NAME,,UU,,Roman unique unit: Legion,Legion: replaces Swordsman. Has 1 build charge. Can construct a Roman Fort. (Consumes build charge.) Can clear terrain. (Consumes build charge.) Higher Combat Strength (40 vs. 35). Higher Production cost (110 vs. 90).
CIVILIZATION_RUSSIA,LOC_CIVILIZATION_RUSSIA_DESCRIPTION,TRAIT_CIVILIZATION_DISTRICT_LAVRA,Holy_Site_%28Civ6%29,LOC_TRAIT_CIVILIZATION_DISTRICT_LAVRA_NAME,,UI,,Russian unique district: Lavra,"Lavra: Replaces Holy Site. Lower Production Production cost (27 vs. 54) +1 Great Prophet points/turn over Holy Site, +1 Great Writer point/turn w/ Shrine, +1 Great Artist point/turn w/ Temple, +1 Great Musician point/turn w/ worship building. Expands city borders whenever a Great Person is used."
CIVILIZATION_RUSSIA,LOC_CIVILIZATION_RUSSIA_DESCRIPTION,TRAIT_CIVILIZATION_MOTHER_RUSSIA,Russian_%28Civ6%29,LOC_TRAIT_CIVILIZATION_MOTHER_RUSSIA_NAME,LOC_TRAIT_CIVILIZATION_MOTHER_RUSSIA_EXPANSION2_DESCRIPTION,CA,,Mother Russia,"Founded cities start with five additional tiles. Tundra tiles provide +1 Faith and +1 Production, in addition to their usual yields. Districts, improvements and units are immune to damage from Blizzards. +100% damage from Blizzards inside Russian territory to civilizations at war with Russia."
CIVILIZATION_RUSSIA,LOC_CIVILIZATION_RUSSIA_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_RUSSIAN_COSSACK,Cossack_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_RUSSIAN_COSSACK_NAME,,UU,,Russian unique unit: Cossack,"Cossack: Light cavalry, replaces cavalry. +5 Strength Combat Strength when fighting in or next to home territory. Can move after attacking. Higher Production cost (340 vs. 330). Higher Combat Strength (67 vs. 62)."
CIVILIZATION_SCYTHIA,LOC_CIVILIZATION_SCYTHIA_DESCRIPTION,TRAIT_CIVILIZATION_EXTRA_LIGHT_CAVALRY,Scythian_%28Civ6%29,LOC_TRAIT_CIVILIZATION_EXTRA_LIGHT_CAVALRY_NAME,LOC_TRAIT_CIVILIZATION_EXTRA_LIGHT_CAVALRY_DESCRIPTION,CA,,People of the Steppe,Building a light cavalry unit or Saka Horse Archer grants a free second copy of that unit.
CIVILIZATION_SCYTHIA,LOC_CIVILIZATION_SCYTHIA_DESCRIPTION,TRAIT_CIVILIZATION_IMPROVEMENT_KURGAN,Kurgan_(Civ6),LOC_TRAIT_CIVILIZATION_IMPROVEMENT_KURGAN_NAME,,UI,,Scythian unique improvement: Kurgan,"Kurgan: tile improvement. +1 Faith, +3 Gold. +1 Faith for each adjacent Pasture, increasing to +2 Faith for each adjacent Pasture (with Stirrups). Provides Tourism equal to its Faith output with Flight. Cannot be built on Hills tiles."
CIVILIZATION_SCYTHIA,LOC_CIVILIZATION_SCYTHIA_DESCRIPTION,TRAIT_CIVILIZATION_UNIT_SCYTHIAN_HORSE_ARCHER,Saka_Horse_Archer_%28Civ6%29,LOC_TRAIT_CIVILIZATION_UNIT_SCYTHIAN_HORSE_ARCHER_NAME,,UU,,Scythian unique unit: Saka Horse Archer,Saka Horse Archer: unique ranged cavalry. Has a ranged attack with Range 1. Ignores enemy zone of control.
CIVILIZATION_SPAIN,LOC_CIVILIZATION_SPAIN_DESCRIPTION,TRAIT_CIVILIZATION_IMPROVEMENT_MISSION,Mission_%28Civ6%29,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_MISSION_NAME,,UI,,Spanish unique improvement: Mission,"Mission: tile improvement. +2 Faith. +2 Faith additionally, 1 Food, 1 Production if on a different continent than your Capital. +1 Science for every adjacent Campus and Holy Site. +2 Science (requires Cultural Heritage). +2 Loyalty per turn for cities with a Mission next to the City Center and not on the original Capital's continent"
CIVILIZATION_SPAIN,LOC_CIVILIZATION_SPAIN_DESCRIPTION,TRAIT_CIVILIZATION_TREASURE_FLEET,Spanish_%28Civ6%29,LOC_TRAIT_CIVILIZATION_TREASURE_FLEET_NAME,LOC_TRAIT_CIVILIZATION_TREASURE_FLEET_EXPANSION2_DESCRIPTION,CA,,Treasure Fleet,"May form Fleets and Armadas with Mercantilism, instead of Nationalism and Mobilization. Trade Routes receive 3 Gold, 2 Faith and 1 Production. Trade Routes between cities on different continents gain triple these yields. Cities not on your original Capital's continent receive 25% extra Production towards Districts and a Builder when founded."
